FACILITY_NAME,site_id,CLASS_STATUS,CONTACT,Latitude,Longitude,LOCATION_ADDRESS_LINE_1,LOCATION_ADDRESS_LINE_2,CITY,STATE,ZIP,NAICS,SIC,COUNTY,PERMIT_DOCUMENT_LINK,PUBLIC_RECORDS_SEARCH_LINK,FACILITY_ECHO_LINK,x,y
Kings Mountain Energy Center,2300383,Title V,Mooresville Regional Office,35.1986,-81.3603,181 Gage Road,,Kings Mountain,NC,28086,Fossil Fuel Electric Power Generation (221112),Electric Services (4911),Cleveland,https://edocs.deq.nc.gov/AirQuality/Search.aspx?dbid=0&searchcommand=%7B%5BFacility%5D%3A%5BFacility%20ID%5D%20%3D%20%222300383%22%7D%20%26%20%7BLF%3Atags%20%3D%20%22Current%20Permit%22%7D&view=search,"https://edocs.deq.nc.gov/AirQuality/Search.aspx?dbid=0&searchcommand=%7B%5BFacility%5D:%5BFacility%20ID%5D%20%3D%20%222300383%22,%20%5BPublicly%20Accessible%3F%5D%20%3D%20%22Yes%22%7D",https://echo.epa.gov/detailed-facility-report?fid=NC0000003702300383,-9056987.167,4190902.950188943
"Kleen-Tech, Inc.",1200205,Title V,Asheville Regional Office,35.7605,-81.5479,690 Lovelady Road,,Valdese,NC,28690,Industrial Launderers (812332),Industrial Launderers (7218),Burke,https://edocs.deq.nc.gov/AirQuality/Search.aspx?dbid=0&searchcommand=%7B%5BFacility%5D%3A%5BFacility%20ID%5D%20%3D%20%221200205%22%7D%20%26%20%7BLF%3Atags%20%3D%20%22Current%20Permit%22%7D&view=search,"https://edocs.deq.nc.gov/AirQuality/Search.aspx?dbid=0&searchcommand=%7B%5BFacility%5D:%5BFacility%20ID%5D%20%3D%20%221200205%22,%20%5BPublicly%20Accessible%3F%5D%20%3D%20%22Yes%22%7D",https://echo.epa.gov/detailed-facility-report?fid=NC0000003701200205,-9077870.703,4267716.386507414
"Kurz Transfer Products, LP",2900268,Title V,Winston-Salem Regional Office,35.9144,-80.3322,4939 North NC Highway 150,,Lexington,NC,27295,Commercial Gravure Printing (323111),"Commercial Printing, Gravure (2754)",Davidson,https://edocs.deq.nc.gov/AirQuality/Search.aspx?dbid=0&searchcommand=%7B%5BFacility%5D%3A%5BFacility%20ID%5D%20%3D%20%222900268%22%7D%20%26%20%7BLF%3Atags%20%3D%20%22Current%20Permit%22%7D&view=search,"https://edocs.deq.nc.gov/AirQuality/Search.aspx?dbid=0&searchcommand=%7B%5BFacility%5D:%5BFacility%20ID%5D%20%3D%20%222900268%22,%20%5BPublicly%20Accessible%3F%5D%20%3D%20%22Yes%22%7D",https://echo.epa.gov/detailed-facility-report?fid=NC0000003702900268,-8942539.598,4288849.327537194
"LLFLex, LLC",4101269,Title V,Winston-Salem Regional Office,36.0659,-79.9776,738 Gallimore Dairy Road,,High Point,NC,27265,Paper Bag and Coated and Treated Paper Manufacturing (322220),Paper Coated And Laminated Packaging (2671),Guilford,https://edocs.deq.nc.gov/AirQuality/Search.aspx?dbid=0&searchcommand=%7B%5BFacility%5D%3A%5BFacility%20ID%5D%20%3D%20%224101269%22%7D%20%26%20%7BLF%3Atags%20%3D%20%22Current%20Permit%22%7D&view=search,"https://edocs.deq.nc.gov/AirQuality/Search.aspx?dbid=0&searchcommand=%7B%5BFacility%5D:%5BFacility%20ID%5D%20%3D%20%224101269%22,%20%5BPublicly%20Accessible%3F%5D%20%3D%20%22Yes%22%7D",https://echo.epa.gov/detailed-facility-report?fid=NC0000003704101269,-8903065.707,4309692.903251988
Lampe & Malphrus Lumber Company,5100026,Title V,Raleigh Regional Office,35.5094,-78.3361,210 North 10th Street,,Smithfield,NC,27577,Sawmills (321113),Sawmills & Planing Mills General (2421),Johnston,https://edocs.deq.nc.gov/AirQuality/Search.aspx?dbid=0&searchcommand=%7B%5BFacility%5D%3A%5BFacility%20ID%5D%20%3D%20%225100026%22%7D%20%26%20%7BLF%3Atags%20%3D%20%22Current%20Permit%22%7D&view=search,"https://edocs.deq.nc.gov/AirQuality/Search.aspx?dbid=0&searchcommand=%7B%5BFacility%5D:%5BFacility%20ID%5D%20%3D%20%225100026%22,%20%5BPublicly%20Accessible%3F%5D%20%3D%20%22Yes%22%7D",https://echo.epa.gov/detailed-facility-report?fid=NC0000003705100026,-8720334.763,4233323.862844183
"Latham Pool Products, Inc.",7700087,Title V,Fayetteville Regional Office,34.9651,-79.8089,162 Enterprise Drive,,Rockingham,NC,28379,All Other Plastics Product Manufacturing (326199),"Plastics Products, Nec (3089)",Richmond,https://edocs.deq.nc.gov/AirQuality/Search.aspx?dbid=0&searchcommand=%7B%5BFacility%5D%3A%5BFacility%20ID%5D%20%3D%20%227700087%22%7D%20%26%20%7BLF%3Atags%20%3D%20%22Current%20Permit%22%7D&view=search,"https://edocs.deq.nc.gov/AirQuality/Search.aspx?dbid=0&searchcommand=%7B%5BFacility%5D:%5BFacility%20ID%5D%20%3D%20%227700087%22,%20%5BPublicly%20Accessible%3F%5D%20%3D%20%22Yes%22%7D",https://echo.epa.gov/detailed-facility-report?fid=NC0000003707700087,-8884286.109,4159139.384308808
Lawndale Recycling,2300407,Title V,Mooresville Regional Office,35.4122,-81.5681,101 West Main Street,,Lawndale,NC,28090,Recyclable Material Merchant Wholesalers (423930),Scrap And Waste Materials (5093),Cleveland,https://edocs.deq.nc.gov/AirQuality/Search.aspx?dbid=0&searchcommand=%7B%5BFacility%5D%3A%5BFacility%20ID%5D%20%3D%20%222300407%22%7D%20%26%20%7BLF%3Atags%20%3D%20%22Current%20Permit%22%7D&view=search,"https://edocs.deq.nc.gov/AirQuality/Search.aspx?dbid=0&searchcommand=%7B%5BFacility%5D:%5BFacility%20ID%5D%20%3D%20%222300407%22,%20%5BPublicly%20Accessible%3F%5D%20%3D%20%22Yes%22%7D",https://echo.epa.gov/detailed-facility-report?fid=NC0000003702300407,-9080119.357,4220039.529657325
Liggett Group LLC,0100276,Title V,Winston-Salem Regional Office,36.0725,-79.3044,100 Maple Lane,,Mebane,NC,27302,Cigarette Manufacturing (312221),Cigarettes (2111),Alamance,https://edocs.deq.nc.gov/AirQuality/Search.aspx?dbid=0&searchcommand=%7B%5BFacility%5D%3A%5BFacility%20ID%5D%20%3D%20%220100276%22%7D%20%26%20%7BLF%3Atags%20%3D%20%22Current%20Permit%22%7D&view=search,"https://edocs.deq.nc.gov/AirQuality/Search.aspx?dbid=0&searchcommand=%7B%5BFacility%5D:%5BFacility%20ID%5D%20%3D%20%220100276%22,%20%5BPublicly%20Accessible%3F%5D%20%3D%20%22Yes%22%7D",https://echo.epa.gov/detailed-facility-report?fid=NC0000003700100276,-8828125.426,4310601.851
Lincoln County Landfill (ACI),5500133,Title V,Mooresville Regional Office,35.4213,-81.3566,5291 Crouse Road,,Crouse,NC,28033,Solid Waste Combustors and Incinerators (562213),Refuse Systems (4953),Lincoln,https://edocs.deq.nc.gov/AirQuality/Search.aspx?dbid=0&searchcommand=%7B%5BFacility%5D%3A%5BFacility%20ID%5D%20%3D%20%225500133%22%7D%20%26%20%7BLF%3Atags%20%3D%20%22Current%20Permit%22%7D&view=search,"https://edocs.deq.nc.gov/AirQuality/Search.aspx?dbid=0&searchcommand=%7B%5BFacility%5D:%5BFacility%20ID%5D%20%3D%20%225500133%22,%20%5BPublicly%20Accessible%3F%5D%20%3D%20%22Yes%22%7D",https://echo.epa.gov/detailed-facility-report?fid=NC0000003705500133,-9056575.285,4221282.5469120275
Livent USA Corp.,3600078,Title V,Mooresville Regional Office,35.2804,-81.3059,1115 Bessemer City - Kings Mtn. Hwy.,,Bessemer City,NC,28016,Other Basic Inorganic Chemical Manufacturing  (325180),Industrial Inorganic Chemicals (2819),Gaston,https://edocs.deq.nc.gov/AirQuality/Search.aspx?dbid=0&searchcommand=%7B%5BFacility%5D%3A%5BFacility%20ID%5D%20%3D%20%223600078%22%7D%20%26%20%7BLF%3Atags%20%3D%20%22Current%20Permit%22%7D&view=search,"https://edocs.deq.nc.gov/AirQuality/Search.aspx?dbid=0&searchcommand=%7B%5BFacility%5D:%5BFacility%20ID%5D%20%3D%20%223600078%22,%20%5BPublicly%20Accessible%3F%5D%20%3D%20%22Yes%22%7D",https://echo.epa.gov/detailed-facility-report?fid=NC0000003703600078,-9050931.386,4202051.974855122
Loparex LLC,7900138,Title V,Winston-Salem Regional Office,36.5119,-79.7131,816 Fieldcrest Road,,Eden,NC,27288,Paper Bag and Coated and Treated Paper Manufacturing (322220),"Paper Coated And Laminated, Nec (2672)",Rockingham,https://edocs.deq.nc.gov/AirQuality/Search.aspx?dbid=0&searchcommand=%7B%5BFacility%5D%3A%5BFacility%20ID%5D%20%3D%20%227900138%22%7D%20%26%20%7BLF%3Atags%20%3D%20%22Current%20Permit%22%7D&view=search,"https://edocs.deq.nc.gov/AirQuality/Search.aspx?dbid=0&searchcommand=%7B%5BFacility%5D:%5BFacility%20ID%5D%20%3D%20%227900138%22,%20%5BPublicly%20Accessible%3F%5D%20%3D%20%22Yes%22%7D",https://echo.epa.gov/detailed-facility-report?fid=NC0000003707900138,-8873621.702,4371288.569923955
Louisiana-Pacific Corporation - Roxboro,7300061,Title V,Raleigh Regional Office,36.5214,-78.9101,10475 Boston Road,,Roxboro,NC,27574,Reconstituted Wood Product Manufacturing (321219),Reconstituted Wood Products (2493),Person,https://edocs.deq.nc.gov/AirQuality/Search.aspx?dbid=0&searchcommand=%7B%5BFacility%5D%3A%5BFacility%20ID%5D%20%3D%20%227300061%22%7D%20%26%20%7BLF%3Atags%20%3D%20%22Current%20Permit%22%7D&view=search,"https://edocs.deq.nc.gov/AirQuality/Search.aspx?dbid=0&searchcommand=%7B%5BFacility%5D:%5BFacility%20ID%5D%20%3D%20%227300061%22,%20%5BPublicly%20Accessible%3F%5D%20%3D%20%22Yes%22%7D",https://echo.epa.gov/detailed-facility-report?fid=NC0000003707300061,-8784232.15,4372604.429392236
"M. J. Price Construction Co., Inc.",4200206,Title V,Raleigh Regional Office,36.469,-77.7017,412 Thelma Road,,Roanoke Rapids,NC,27870,Solid Waste Combustors and Incinerators (562213),Refuse Systems (4953),Halifax,https://edocs.deq.nc.gov/AirQuality/Search.aspx?dbid=0&searchcommand=%7B%5BFacility%5D%3A%5BFacility%20ID%5D%20%3D%20%224200206%22%7D%20%26%20%7BLF%3Atags%20%3D%20%22Current%20Permit%22%7D&view=search,"https://edocs.deq.nc.gov/AirQuality/Search.aspx?dbid=0&searchcommand=%7B%5BFacility%5D:%5BFacility%20ID%5D%20%3D%20%224200206%22,%20%5BPublicly%20Accessible%3F%5D%20%3D%20%22Yes%22%7D",https://echo.epa.gov/detailed-facility-report?fid=NC0000003704200206,-8649713.678,4365348.435855684
MANN+HUMMEL Purolator Filters LLC,2600058,Title V,Fayetteville Regional Office,35.0128,-78.9208,3200 Natal Street,,Fayetteville,NC,28306,All Other Motor Vehicle Parts Manufacturing (336399),Motor Vehicle Parts & Accessories (3714),Cumberland,https://edocs.deq.nc.gov/AirQuality/Search.aspx?dbid=0&searchcommand=%7B%5BFacility%5D%3A%5BFacility%20ID%5D%20%3D%20%222600058%22%7D%20%26%20%7BLF%3Atags%20%3D%20%22Current%20Permit%22%7D&view=search,"https://edocs.deq.nc.gov/AirQuality/Search.aspx?dbid=0&searchcommand=%7B%5BFacility%5D:%5BFacility%20ID%5D%20%3D%20%222600058%22,%20%5BPublicly%20Accessible%3F%5D%20%3D%20%22Yes%22%7D",https://echo.epa.gov/detailed-facility-report?fid=NC0000003702600058,-8785423.269,4165620.7490152633
MCIEAST-Marine Corps Base Camp Lejeune,6700011,Title V,Wilmington Regional Office,34.6676,-77.3414,12 Post Lane,,Camp Lejeune,NC,28547,National Security (928110),National Security (9711),Onslow,https://edocs.deq.nc.gov/AirQuality/Search.aspx?dbid=0&searchcommand=%7B%5BFacility%5D%3A%5BFacility%20ID%5D%20%3D%20%226700011%22%7D%20%26%20%7BLF%3Atags%20%3D%20%22Current%20Permit%22%7D&view=search,"https://edocs.deq.nc.gov/AirQuality/Search.aspx?dbid=0&searchcommand=%7B%5BFacility%5D:%5BFacility%20ID%5D%20%3D%20%226700011%22,%20%5BPublicly%20Accessible%3F%5D%20%3D%20%22Yes%22%7D",https://echo.epa.gov/detailed-facility-report?fid=NC0000003706700011,-8609605.265,4118800.561298796
"MP Durham, LLC (Landfill Gas-to-Energy Project)",3200375,Title V,Raleigh Regional Office,36.0325,-78.8555,2115 East Club Boulevard,,Durham,NC,27704,Other Electric Power Generation (221119),Electric Services (4911),Durham,https://edocs.deq.nc.gov/AirQuality/Search.aspx?dbid=0&searchcommand=%7B%5BFacility%5D%3A%5BFacility%20ID%5D%20%3D%20%223200375%22%7D%20%26%20%7BLF%3Atags%20%3D%20%22Current%20Permit%22%7D&view=search,"https://edocs.deq.nc.gov/AirQuality/Search.aspx?dbid=0&searchcommand=%7B%5BFacility%5D:%5BFacility%20ID%5D%20%3D%20%223200375%22,%20%5BPublicly%20Accessible%3F%5D%20%3D%20%22Yes%22%7D",https://echo.epa.gov/detailed-facility-report?fid=NC0000003703200375,-8778154.106,4305094.243903208
"Mane Ingredients USA, Inc.",0800044,Title V,Washington Regional Office,36.0001,-76.7109,841 Avoca Farm Road,,Merry Hill,NC,27957,Flavoring Syrup and Concentrate Manufacturing (311930),"Flavoring Extracts And Syrups,nec (2087)",Bertie,https://edocs.deq.nc.gov/AirQuality/Search.aspx?dbid=0&searchcommand=%7B%5BFacility%5D%3A%5BFacility%20ID%5D%20%3D%20%220800044%22%7D%20%26%20%7BLF%3Atags%20%3D%20%22Current%20Permit%22%7D&view=search,"https://edocs.deq.nc.gov/AirQuality/Search.aspx?dbid=0&searchcommand=%7B%5BFacility%5D:%5BFacility%20ID%5D%20%3D%20%220800044%22,%20%5BPublicly%20Accessible%3F%5D%20%3D%20%22Yes%22%7D",https://echo.epa.gov/detailed-facility-report?fid=NC0000003700800044,-8539418.326,4300635.131898779
Mann+Hummel Filtration Technology - Allen Plant,3600137,Title V,Mooresville Regional Office,35.2764,-81.2245,2900 Northwest Boulevard,,Gastonia,NC,28052,All Other Motor Vehicle Parts Manufacturing (336399),Motor Vehicle Parts & Accessories (3714),Gaston,https://edocs.deq.nc.gov/AirQuality/Search.aspx?dbid=0&searchcommand=%7B%5BFacility%5D%3A%5BFacility%20ID%5D%20%3D%20%223600137%22%7D%20%26%20%7BLF%3Atags%20%3D%20%22Current%20Permit%22%7D&view=search,"https://edocs.deq.nc.gov/AirQuality/Search.aspx?dbid=0&searchcommand=%7B%5BFacility%5D:%5BFacility%20ID%5D%20%3D%20%223600137%22,%20%5BPublicly%20Accessible%3F%5D%20%3D%20%22Yes%22%7D",https://echo.epa.gov/detailed-facility-report?fid=NC0000003703600137,-9041869.98,4201506.528625868
Marine Corps Air Station - Cherry Point,2500019,Title V,Washington Regional Office,34.8984,-76.906,"Facilities Directorate, Building 87",PSC Box 8006,Cherry Point,NC,28533,National Security (928110),National Security (9711),Craven,https://edocs.deq.nc.gov/AirQuality/Search.aspx?dbid=0&searchcommand=%7B%5BFacility%5D%3A%5BFacility%20ID%5D%20%3D%20%222500019%22%7D%20%26%20%7BLF%3Atags%20%3D%20%22Current%20Permit%22%7D&view=search,"https://edocs.deq.nc.gov/AirQuality/Search.aspx?dbid=0&searchcommand=%7B%5BFacility%5D:%5BFacility%20ID%5D%20%3D%20%222500019%22,%20%5BPublicly%20Accessible%3F%5D%20%3D%20%22Yes%22%7D",https://echo.epa.gov/detailed-facility-report?fid=NC0000003702500019,-8561136.759,4150082.6673081066
Marsh Furniture Company,4100854,Title V,Winston-Salem Regional Office,35.9439,-80.0001,1001 South Centennial Street,,High Point,NC,27260,Wood Kitchen Cabinet and Countertop Manufacturing (337110),Wood Kitchen Cabinets (2434),Guilford,https://edocs.deq.nc.gov/AirQuality/Search.aspx?dbid=0&searchcommand=%7B%5BFacility%5D%3A%5BFacility%20ID%5D%20%3D%20%224100854%22%7D%20%26%20%7BLF%3Atags%20%3D%20%22Current%20Permit%22%7D&view=search,"https://edocs.deq.nc.gov/AirQuality/Search.aspx?dbid=0&searchcommand=%7B%5BFacility%5D:%5BFacility%20ID%5D%20%3D%20%224100854%22,%20%5BPublicly%20Accessible%3F%5D%20%3D%20%22Yes%22%7D",https://echo.epa.gov/detailed-facility-report?fid=NC0000003704100854,-8905570.395,4292904.841691601
MasterBrand Cabinets LLC - Kinston Plant #9,5400187,Title V,Washington Regional Office,35.2298,-77.5792,651 Collier-Loftin Road,,Kinston,NC,28504,Wood Kitchen Cabinet and Countertop Manufacturing (337110),Wood Kitchen Cabinets (2434),Lenoir,https://edocs.deq.nc.gov/AirQuality/Search.aspx?dbid=0&searchcommand=%7B%5BFacility%5D%3A%5BFacility%20ID%5D%20%3D%20%225400187%22%7D%20%26%20%7BLF%3Atags%20%3D%20%22Current%20Permit%22%7D&view=search,"https://edocs.deq.nc.gov/AirQuality/Search.aspx?dbid=0&searchcommand=%7B%5BFacility%5D:%5BFacility%20ID%5D%20%3D%20%225400187%22,%20%5BPublicly%20Accessible%3F%5D%20%3D%20%22Yes%22%7D",https://echo.epa.gov/detailed-facility-report?fid=NC0000003705400187,-8636077.04,4195154.064
"Mateenbar Composite Reinforcements, LLC",1300181,Title V,Mooresville Regional Office,35.3419,-80.608,2011 NC Highway 49 South,,Concord,NC,28027,All Other Miscellaneous Manufacturing (339999),"Manufacturing Industries, Nec (3999)",Cabarrus,https://edocs.deq.nc.gov/AirQuality/Search.aspx?dbid=0&searchcommand=%7B%5BFacility%5D%3A%5BFacility%20ID%5D%20%3D%20%221300181%22%7D%20%26%20%7BLF%3Atags%20%3D%20%22Current%20Permit%22%7D&view=search,"https://edocs.deq.nc.gov/AirQuality/Search.aspx?dbid=0&searchcommand=%7B%5BFacility%5D:%5BFacility%20ID%5D%20%3D%20%221300181%22,%20%5BPublicly%20Accessible%3F%5D%20%3D%20%22Yes%22%7D",https://echo.epa.gov/detailed-facility-report?fid=NC0000003701300181,-8973241.514,4210441.605474593
"Mathis Landscapes WNC, Inc. (ACI)",5000131,Title V,Asheville Regional Office,35.1654,-83.1725,5230 North Norton Road,,Cullowhee,NC,28723,Solid Waste Combustors and Incinerators (562213),Refuse Systems (4953),Jackson,https://edocs.deq.nc.gov/AirQuality/Search.aspx?dbid=0&searchcommand=%7B%5BFacility%5D%3A%5BFacility%20ID%5D%20%3D%20%225000131%22%7D%20%26%20%7BLF%3Atags%20%3D%20%22Current%20Permit%22%7D&view=search,"https://edocs.deq.nc.gov/AirQuality/Search.aspx?dbid=0&searchcommand=%7B%5BFacility%5D:%5BFacility%20ID%5D%20%3D%20%225000131%22,%20%5BPublicly%20Accessible%3F%5D%20%3D%20%22Yes%22%7D",https://echo.epa.gov/detailed-facility-report?fid=NC0000003705000131,-9258720.348,4186381.122392556
"Mauser USA, LLC - Harrisburg",1300027,Title V,Mooresville Regional Office,35.3162,-80.676,12180 University City Boulevard,,Harrisburg,NC,28075,Other Metal Container Manufacturing (332439),"Metal Barrels, Drums & Pails (3412)",Cabarrus,https://edocs.deq.nc.gov/AirQuality/Search.aspx?dbid=0&searchcommand=%7B%5BFacility%5D%3A%5BFacility%20ID%5D%20%3D%20%221300027%22%7D%20%26%20%7BLF%3Atags%20%3D%20%22Current%20Permit%22%7D&view=search,"https://edocs.deq.nc.gov/AirQuality/Search.aspx?dbid=0&searchcommand=%7B%5BFacility%5D:%5BFacility%20ID%5D%20%3D%20%221300027%22,%20%5BPublicly%20Accessible%3F%5D%20%3D%20%22Yes%22%7D",https://echo.epa.gov/detailed-facility-report?fid=NC0000003701300027,-8980811.239,4206934.918896021
"MaxPro Manufacturing, LLC",2400162,Title V,Wilmington Regional Office,34.3333,-78.7667,31 Industrial Boulevard South,,Whiteville,NC,28472,Unlaminated Plastics Film and Sheet (except Packaging) Manufacturing (326113),Unsupported Plastics Film And Sheet (3081),Columbus,https://edocs.deq.nc.gov/AirQuality/Search.aspx?dbid=0&searchcommand=%7B%5BFacility%5D%3A%5BFacility%20ID%5D%20%3D%20%222400162%22%7D%20%26%20%7BLF%3Atags%20%3D%20%22Current%20Permit%22%7D&view=search,"https://edocs.deq.nc.gov/AirQuality/Search.aspx?dbid=0&searchcommand=%7B%5BFacility%5D:%5BFacility%20ID%5D%20%3D%20%222400162%22,%20%5BPublicly%20Accessible%3F%5D%20%3D%20%22Yes%22%7D",https://echo.epa.gov/detailed-facility-report?fid=NC0000003702400162,-8768268.935,4073644.358494696
Maxton Public Works (ACI),7800245,Title V,Fayetteville Regional Office,34.716,-79.3616,483 Maxton Pond Road,Parcel #11080100701,Maxton,NC,28364,Solid Waste Combustors and Incinerators (562213),Refuse Systems (4953),Robeson,https://edocs.deq.nc.gov/AirQuality/Search.aspx?dbid=0&searchcommand=%7B%5BFacility%5D%3A%5BFacility%20ID%5D%20%3D%20%227800245%22%7D%20%26%20%7BLF%3Atags%20%3D%20%22Current%20Permit%22%7D&view=search,"https://edocs.deq.nc.gov/AirQuality/Search.aspx?dbid=0&searchcommand=%7B%5BFacility%5D:%5BFacility%20ID%5D%20%3D%20%227800245%22,%20%5BPublicly%20Accessible%3F%5D%20%3D%20%22Yes%22%7D",https://echo.epa.gov/detailed-facility-report?fid=NC0000003707800245,-8834492.901,4125353.3422908317
Molded Fiber Glass Company/North Carolina,1200094,Title V,Asheville Regional Office,35.7202,-81.7606,213 Reep Drive,,Morganton,NC,28655,All Other Plastics Product Manufacturing (326199),"Plastics Products, Nec (3089)",Burke,https://edocs.deq.nc.gov/AirQuality/Search.aspx?dbid=0&searchcommand=%7B%5BFacility%5D%3A%5BFacility%20ID%5D%20%3D%20%221200094%22%7D%20%26%20%7BLF%3Atags%20%3D%20%22Current%20Permit%22%7D&view=search,"https://edocs.deq.nc.gov/AirQuality/Search.aspx?dbid=0&searchcommand=%7B%5BFacility%5D:%5BFacility%20ID%5D%20%3D%20%221200094%22,%20%5BPublicly%20Accessible%3F%5D%20%3D%20%22Yes%22%7D",https://echo.epa.gov/detailed-facility-report?fid=NC0000003701200094,-9101548.359,4262189.309548231
"Moore's Fiberglass, Inc.",4000041,Title V,Washington Regional Office,35.5985,-77.6984,403 North Wilson Street,,Walstonburg,NC,27888,All Other Plastics Product Manufacturing (326199),"Plastics Products, Nec (3089)",Greene,https://edocs.deq.nc.gov/AirQuality/Search.aspx?dbid=0&searchcommand=%7B%5BFacility%5D%3A%5BFacility%20ID%5D%20%3D%20%224000041%22%7D%20%26%20%7BLF%3Atags%20%3D%20%22Current%20Permit%22%7D&view=search,"https://edocs.deq.nc.gov/AirQuality/Search.aspx?dbid=0&searchcommand=%7B%5BFacility%5D:%5BFacility%20ID%5D%20%3D%20%224000041%22,%20%5BPublicly%20Accessible%3F%5D%20%3D%20%22Yes%22%7D",https://echo.epa.gov/detailed-facility-report?fid=NC0000003704000041,-8649346.323,4245515.301303602
NC Municipal Power Agency No. 1 - Gastonia Prime Power Park,3600338,Title V,Mooresville Regional Office,35.3032,-81.2092,1109 Gastonia Technology Parkway,,Dallas,NC,28034,Other Electric Power Generation (221119),Electric Services (4911),Gaston,https://edocs.deq.nc.gov/AirQuality/Search.aspx?dbid=0&searchcommand=%7B%5BFacility%5D%3A%5BFacility%20ID%5D%20%3D%20%223600338%22%7D%20%26%20%7BLF%3Atags%20%3D%20%22Current%20Permit%22%7D&view=search,"https://edocs.deq.nc.gov/AirQuality/Search.aspx?dbid=0&searchcommand=%7B%5BFacility%5D:%5BFacility%20ID%5D%20%3D%20%223600338%22,%20%5BPublicly%20Accessible%3F%5D%20%3D%20%22Yes%22%7D",https://echo.epa.gov/detailed-facility-report?fid=NC0000003703600338,-9040166.792,4205161.532993491
NC Municipal Power Agency No. 1 - High Point Peaking Plant,4101219,Title V,Winston-Salem Regional Office,35.9403,-79.9127,5898 Riverdale Drive,,Jamestown,NC,27282,Fossil Fuel Electric Power Generation (221112),Electric Services (4911),Guilford,https://edocs.deq.nc.gov/AirQuality/Search.aspx?dbid=0&searchcommand=%7B%5BFacility%5D%3A%5BFacility%20ID%5D%20%3D%20%224101219%22%7D%20%26%20%7BLF%3Atags%20%3D%20%22Current%20Permit%22%7D&view=search,"https://edocs.deq.nc.gov/AirQuality/Search.aspx?dbid=0&searchcommand=%7B%5BFacility%5D:%5BFacility%20ID%5D%20%3D%20%224101219%22,%20%5BPublicly%20Accessible%3F%5D%20%3D%20%22Yes%22%7D",https://echo.epa.gov/detailed-facility-report?fid=NC0000003704101219,-8895841.072,4292409.850415164
NCEMC - Anson Plant,0400050,Title V,Fayetteville Regional Office,34.9681,-79.9223,749 Blewett Falls Road,,Lilesville,NC,28091,Fossil Fuel Electric Power Generation (221112),Electric Services (4911),Anson,https://edocs.deq.nc.gov/AirQuality/Search.aspx?dbid=0&searchcommand=%7B%5BFacility%5D%3A%5BFacility%20ID%5D%20%3D%20%220400050%22%7D%20%26%20%7BLF%3Atags%20%3D%20%22Current%20Permit%22%7D&view=search,"https://edocs.deq.nc.gov/AirQuality/Search.aspx?dbid=0&searchcommand=%7B%5BFacility%5D:%5BFacility%20ID%5D%20%3D%20%220400050%22,%20%5BPublicly%20Accessible%3F%5D%20%3D%20%22Yes%22%7D",https://echo.epa.gov/detailed-facility-report?fid=NC0000003700400050,-8896909.739,4159546.906053131
NCEMC - Buxton,2800021,Title V,Washington Regional Office,35.2674,-75.5351,47123 Light Plant Road,,Buxton,NC,27920,Electric Power Distribution (221122),Electric Services (4911),Dare,https://edocs.deq.nc.gov/AirQuality/Search.aspx?dbid=0&searchcommand=%7B%5BFacility%5D%3A%5BFacility%20ID%5D%20%3D%20%222800021%22%7D%20%26%20%7BLF%3Atags%20%3D%20%22Current%20Permit%22%7D&view=search,"https://edocs.deq.nc.gov/AirQuality/Search.aspx?dbid=0&searchcommand=%7B%5BFacility%5D:%5BFacility%20ID%5D%20%3D%20%222800021%22,%20%5BPublicly%20Accessible%3F%5D%20%3D%20%22Yes%22%7D",https://echo.epa.gov/detailed-facility-report?fid=NC0000003702800021,-8408528.869,4200279.373092045
NCEMC - Hamlet Plant,7700082,Title V,Fayetteville Regional Office,34.8395,-79.7421,162 Cooperative Way,,Hamlet,NC,28345,Fossil Fuel Electric Power Generation (221112),Electric Services (4911),Richmond,https://edocs.deq.nc.gov/AirQuality/Search.aspx?dbid=0&searchcommand=%7B%5BFacility%5D%3A%5BFacility%20ID%5D%20%3D%20%227700082%22%7D%20%26%20%7BLF%3Atags%20%3D%20%22Current%20Permit%22%7D&view=search,"https://edocs.deq.nc.gov/AirQuality/Search.aspx?dbid=0&searchcommand=%7B%5BFacility%5D:%5BFacility%20ID%5D%20%3D%20%227700082%22,%20%5BPublicly%20Accessible%3F%5D%20%3D%20%22Yes%22%7D",https://echo.epa.gov/detailed-facility-report?fid=NC0000003707700082,-8876849.967,4142091.1697715824
NCEMC - Ocracoke,4800028,Title V,Washington Regional Office,35.1094,-75.9804,64 Odd Fellows Road,,Ocracoke,NC,27960,Electric Power Distribution (221122),Electric Services (4911),Hyde,https://edocs.deq.nc.gov/AirQuality/Search.aspx?dbid=0&searchcommand=%7B%5BFacility%5D%3A%5BFacility%20ID%5D%20%3D%20%224800028%22%7D%20%26%20%7BLF%3Atags%20%3D%20%22Current%20Permit%22%7D&view=search,"https://edocs.deq.nc.gov/AirQuality/Search.aspx?dbid=0&searchcommand=%7B%5BFacility%5D:%5BFacility%20ID%5D%20%3D%20%224800028%22,%20%5BPublicly%20Accessible%3F%5D%20%3D%20%22Yes%22%7D",https://echo.epa.gov/detailed-facility-report?fid=NC0000003704800028,-8458099.438,4178758.1233696723
